ProductID,Username,Shopname,Category,Productname,Brand,Price,Soldcomplete,Stock,Images,QC,Status,Likes,DateCreated,DateUpdated,Country,SellerUserID,Soldtotal,ShopID,Subcategory,Condition,Level3subcategory,Displayedmaincategory,Crossborder,Userstatus,ctime,Itemrating,Attributesfilled,Idattributes,Valueattributes,ParentSKURefno,Pricebeforediscount,can_use_wholesale,Wholesaletier1,Wholesaletier2,Wholesaletier3,Wholesaletier4,Wholesaletier5,SKU,Specificcreatetime,Weight,Maxchannelsize,Minchannelsize,Dategenerated,Attributesavailable,grass_country,grass_date,weight
128076398,fancyqube.id,fancyqube.id,Women Clothes,FANCYCUBE Sweater Wanita: Hoodie Bertuliskan LOVE,0,122355,0,800,1,Passed,Normal,0,21/1/2017,9/6/2017,ID,8938945,0,8937649,Outerwear,New with tags,Sweater,Pakaian Wanita,1,1,1484980257,,0,NULL,"[6837, 6838, 6839, 6840]",W2319,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,W2319,21/1/2017 13:30,NULL,NULL,NULL,5/9/2017,4,ID,5/9/2017,0.2
128076398,fancyqube.id,fancyqube.id,Women Clothes,FANCYCUBE Sweater Wanita: Hoodie Bertuliskan LOVE,0,122355,0,800,1,Passed,Normal,0,21/1/2017,9/6/2017,ID,8938945,0,8937649,Outerwear,New with tags,Sweater,Pakaian Wanita,1,1,1484980257,,0,NULL,"[6837, 6838, 6839, 6840]",W2319,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,W2319,21/1/2017 13:30,NULL,NULL,NULL,21/7/2017,4,ID,21/7/2017,0.2
128076398,fancyqube.id,fancyqube.id,Women Clothes,FANCYCUBE Sweater Wanita: Hoodie Bertuliskan LOVE,0,122355,0,800,1,Passed,Normal,0,21/1/2017,9/6/2017,ID,8938945,0,8937649,Outerwear,New with tags,Sweater,Pakaian Wanita,1,1,1484980257,,0,NULL,"[6837, 6838, 6839, 6840]",W2319,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,W2319,21/1/2017 13:30,NULL,NULL,NULL,1/8/2017,4,ID,1/8/2017,0.2
165660143,fancyqube.id,fancyqube.id,Health & Beauty,Fancycube Alat Gelang Pintar Untuk Menghentikan Mendengkur,Fancycube ,90008,0,200,2,Passed,Normal,1,3/3/2017,9/6/2017,ID,8938945,1,8937649,Tools and Kits,New with tags,Others,Perawatan & Kesehatan,1,1,1488523525,,0,NULL,[11275],HB0507,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,HB0507,3/3/2017 13:45,NULL,NULL,NULL,21/7/2017,1,ID,21/7/2017,0.05
165660143,fancyqube.id,fancyqube.id,Health & Beauty,Fancycube Alat Gelang Pintar Untuk Menghentikan Mendengkur,Fancycube ,90008,1,199,2,Passed,Normal,1,3/3/2017,9/6/2017,ID,8938945,2,8937649,Tools and Kits,New with tags,Others,Perawatan & Kesehatan,1,1,1488523525,,0,NULL,[11275],HB0507,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,HB0507,3/3/2017 13:45,NULL,NULL,NULL,5/9/2017,1,ID,5/9/2017,0.05
165660143,fancyqube.id,fancyqube.id,Health & Beauty,Fancycube Alat Gelang Pintar Untuk Menghentikan Mendengkur,Fancycube ,90008,0,200,2,Passed,Normal,1,3/3/2017,9/6/2017,ID,8938945,1,8937649,Tools and Kits,New with tags,Others,Perawatan & Kesehatan,1,1,1488523525,,0,NULL,[11275],HB0507,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,HB0507,3/3/2017 13:45,NULL,NULL,NULL,1/8/2017,1,ID,1/8/2017,0.05
182041018,fancyqube.id,fancyqube.id,Women Clothes,Fashion Wanita: Fancyqube Tank Top dengan Print Beauty and Beast,Fancyqube ,74279,0,1600,4,Passed,Normal,0,17/3/2017,9/6/2017,ID,8938945,0,8937649,Top,New with tags,Others,Pakaian Wanita,1,1,1489720093,,1,NULL,"[10984, 10985, 10986, 10987]",M558,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,M558,17/3/2017 10:08,NULL,NULL,NULL,5/9/2017,4,ID,5/9/2017,0.1
182041018,fancyqube.id,fancyqube.id,Women Clothes,Fashion Wanita: Fancyqube Tank Top dengan Print Beauty and Beast,Fancyqube ,74279,0,1600,4,Passed,Normal,0,17/3/2017,9/6/2017,ID,8938945,0,8937649,Top,New with tags,Others,Pakaian Wanita,1,1,1489720093,,1,NULL,"[10984, 10985, 10986, 10987]",M558,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,M558,17/3/2017 10:08,NULL,NULL,NULL,1/8/2017,4,ID,1/8/2017,0.1
182041018,fancyqube.id,fancyqube.id,Women Clothes,Fashion Wanita: Fancyqube Tank Top dengan Print Beauty and Beast,Fancyqube ,74279,0,1600,4,Passed,Normal,0,17/3/2017,9/6/2017,ID,8938945,0,8937649,Top,New with tags,Others,Pakaian Wanita,1,1,1489720093,,1,NULL,"[10984, 10985, 10986, 10987]",M558,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,M558,17/3/2017 10:08,NULL,NULL,NULL,21/7/2017,4,ID,21/7/2017,0.1
372843580,fancyqube.id,fancyqube.id,Women Clothes,Fashion Wanita: Fancyqube Cardigan Panjang Lengan Panjang Warna Polos,0,135036,0,800,5,Passed,Normal,2,21/7/2017,30/8/2017,ID,8938945,0,8937649,Top,New with tags,Tshirt,Pakaian Wanita,1,1,1500617338,,4,NULL,"[6821, 6822, 6823, 6824]",W4892,142143,0,NULL,NULL,NULL,NULL,NULL,W4892,21/7/2017 13:08,NULL,NULL,NULL,5/9/2017,4,ID,5/9/2017,0.1
372843580,fancyqube.id,fancyqube.id,Women Clothes,Fancyqube READY STOCK Women Cardigan Long Jacket Trench Coat,0,142143,0,800,5,Passed,Normal,0,21/7/2017,21/7/2017,ID,8938945,0,8937649,Top,New with tags,Tshirt,Pakaian Wanita,1,1,1500617338,,4,NULL,"[6821, 6822, 6823, 6824]",W4892,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,W4892,21/7/2017 13:08,NULL,NULL,NULL,1/8/2017,4,ID,1/8/2017,0.1
65989142,fancyqube.id,fancyqube.id,Women Clothes,Fancycube Fashion Kaus Halter Neck Rendah Wanita Seksi Punggung Terbuka Atasan Wanita Casual,FancyqubeFashion,10077490,0,0,6,NA,Seller Deleted,1,16/9/2016,4/5/2017,ID,8938945,0,8937649,Top,New with tags,Others,Pakaian Wanita,1,1,1474029368,,1,NULL,"[10984, 10985, 10986, 10987]",W1054,0.00E+00,0,NULL,NULL,NULL,NULL,NULL,W1054,16/9/2016 19:36,NULL,NULL,NULL,5/9/2017,4,ID,5/9/2017,0.1
