username,item_shopid,item_itemid,item_name,item_description,parent_sku,item_images,item_price,item_stock,item_brand,item_shipping,item_cat,weight
king.my,20299986,562153823,BTS Bangtan Boys JHOPE dual-use Shoulder Bag Schoolbag backpack SJB014,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#BTS #BangtanBoys #V #JENNIE #JUNGKOOK #JIMIN #SUGA #JHOPE #RapMonster #JIN #Schoolbag #bag #shoulderbag",SJB014-BTS,"cce6bf4453b480ceeb47bdfbe3fd2b4b,ee06588130c07bf9e810b578522dc024,10aef1081c832ce322a6c5b1a0e7d559,912e57d2a646fcc75d5c252444bc8ab5,0b08085911bd3e4486114beccb80cfd4",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153836,BTS Bangtan Boys Rap Monster dual-use Shoulder Bag Schoolbag backpack SJB014,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#BTS #BangtanBoys #V #JENNIE #JUNGKOOK #JIMIN #SUGA #JHOPE #RapMonster #JIN #Schoolbag #bag #shoulderbag",SJB014-BTS,"ef1240c8060272d31964cb1b5747e75e,d89ce7aba894d5ba46d5625e68aa0085,10aef1081c832ce322a6c5b1a0e7d559,912e57d2a646fcc75d5c252444bc8ab5,0b08085911bd3e4486114beccb80cfd4",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153966,EXO THE WAR CHANYEOL dual-use Shoulder Bag Schoolbag backpack SJB016,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#EXO #BAEKHYUN #CHANYEOL #SEHUN #D.O. #LAY #XIUMIN #CHEN #SUHO #KAI #Bag #Handbag #Shoulderbag",SJB016-EXO,"9a34abd2773c95aae7ffb684099940b5,edce47a242c5cb8a01f38787deb7ccf8,ed41a932cc771846ea37be599fe7024a,9babc3459594370ff84b578f4892f817,912e57d2a646fcc75d5c252444bc8ab5",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153833,BTS Bangtan Boys JUNGKOOK dual-use Shoulder Bag Schoolbag backpack SJB014,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#BTS #BangtanBoys #V #JENNIE #JUNGKOOK #JIMIN #SUGA #JHOPE #RapMonster #JIN #Schoolbag #bag #shoulderbag",SJB014-BTS,"3a0011d9b659339f494974e35154e6ff,b92b7815db116128cc3f20994f8b2e41,10aef1081c832ce322a6c5b1a0e7d559,0b08085911bd3e4486114beccb80cfd4,912e57d2a646fcc75d5c252444bc8ab5",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153958,EXO LUHAN dual-use Shoulder Bag Schoolbag backpack SJB015,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#EXO #BAEKHYUN #CHANYEOL #SEHUN #D.O. #LAY #XIUMIN #CHEN #SUHO #KAI #Bag #Handbag #Shoulderbag",SJB015-EXO,"f4b2c65eea548411af7784bca5a0e848,1c234998277f85f74bbc318b093a8fb8,8569fb4413e571a23ab91ecda7783836,c261b8b0efa8c5d4968bb904db741ba2,912e57d2a646fcc75d5c252444bc8ab5",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153994,EXO THE WAR XIUMIN dual-use Shoulder Bag Schoolbag backpack SJB016,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#EXO #BAEKHYUN #CHANYEOL #SEHUN #D.O. #LAY #XIUMIN #CHEN #SUHO #KAI #Bag #Handbag #Shoulderbag",SJB016-EXO,"4b59eb4bcfedc2862cb61f07f4d67144,1f1142e493befe6ae3b1433310822ab6,ed41a932cc771846ea37be599fe7024a,9babc3459594370ff84b578f4892f817,912e57d2a646fcc75d5c252444bc8ab5",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153897,EXO KAI dual-use Shoulder Bag Schoolbag backpack SJB015,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#EXO #BAEKHYUN #CHANYEOL #SEHUN #D.O. #LAY #XIUMIN #CHEN #SUHO #KAI #Bag #Handbag #Shoulderbag",SJB015-EXO,"385becb4a587c65c9b3e6d6bc61d2b92,4bd8e41ea9cca669e9a93c9744aa144e,8569fb4413e571a23ab91ecda7783836,c261b8b0efa8c5d4968bb904db741ba2,912e57d2a646fcc75d5c252444bc8ab5",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153889,EXO DO D.O. dual-use Shoulder Bag Schoolbag backpack SJB015,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#EXO #BAEKHYUN #CHANYEOL #SEHUN #D.O. #LAY #XIUMIN #CHEN #SUHO #KAI #Bag #Handbag #Shoulderbag",SJB015-EXO,"b83a61279193dded30975836ccddd7d9,6539862556e77d3d791fe6344a726c8d,8569fb4413e571a23ab91ecda7783836,912e57d2a646fcc75d5c252444bc8ab5,c261b8b0efa8c5d4968bb904db741ba2",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153957,EXO LAY dual-use Shoulder Bag Schoolbag backpack SJB015,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#EXO #BAEKHYUN #CHANYEOL #SEHUN #D.O. #LAY #XIUMIN #CHEN #SUHO #KAI #Bag #Handbag #Shoulderbag",SJB015-EXO,"cd889f593305e239adc8f61155fee673,2fcccc4c7c46b375b35e1a63b5b51991,8569fb4413e571a23ab91ecda7783836,c261b8b0efa8c5d4968bb904db741ba2,912e57d2a646fcc75d5c252444bc8ab5",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
king.my,20299986,562153887,EXO CHEN dual-use Shoulder Bag Schoolbag backpack SJB015,"Buyer Tips:
1:All the products are in stock, Shipment within 3 days, welcome to shopping.
2:Our company specializes in producing and selling kpop star related products, welcome to all Kpop fans to consult and purchase.
3:If you are a wholesaler, we will be based on your purchase to give you 10% -50% discount, please contact me in detail.
4:Some products of our store support customization.
#EXO #BAEKHYUN #CHANYEOL #SEHUN #D.O. #LAY #XIUMIN #CHEN #SUHO #KAI #Bag #Handbag #Shoulderbag",SJB015-EXO,"951731af4f93901731652480d5cc4041,117d91d0ff6096c1597fe486c8afb3d5,8569fb4413e571a23ab91ecda7783836,c261b8b0efa8c5d4968bb904db741ba2,912e57d2a646fcc75d5c252444bc8ab5",82.5,2000,0,5,"[{""catid"": [18, 643, 6743]}]",0.5
