Shop_5182389,Shop_4159780,Difference_score
18272648,14203826,24.0
18272552,14203680,0
23782269,48243091,25.0
21284969,14203500,25.0
18272603,14203523,0
18272611,14203858,0
18272318,14203468,4.0
18272353,14206471,0
18265567,14204529,0
18265564,14206553,25.0
18272349,14206305,0
18272401,14203384,0
18272319,14205058,0
18265569,14204706,0
18265561,14206166,0
18272600,14205597,25.0
18272585,45733578,25.0
18272589,14203896,25.0
18272367,14206658,0
18272405,14294830,0
18272414,14294903,0
18272338,14206194,0
18272567,14203232,0
18272369,14202557,25.0
18272508,14205597,0
18272505,14202689,25.0
18272340,14206247,0
18265571,14204554,0
23782127,14202557,25.0
18272333,14208616,0
18272579,14203359,12.0
18272658,45733578,25.0
18272390,14205297,25.0
18272391,14204636,25.0
18272378,14205297,25.0
18272656,14203591,25.0
18272396,14206600,25.0
18272399,16438062,25.0
18272574,14203262,0
18272374,14203746,0
18272413,14203413,3.0
18272557,14202557,0
18272312,14205109,8.0
18272316,14208569,0
18272560,14202689,0
41295863,16438062,25.0
18272307,14206006,0
26212504,14203500,25.0
18272587,14204738,25.0
18272330,14208689,0
18272383,14206521,25.0
18272621,16438062,25.0
18272562,14203201,0
18272605,14203547,6.0
18272576,14203312,5.0
18272423,14203642,25.0
18272427,14631115,25.0
18272362,14205297,25.0
18272324,14206553,25.0
26212362,16438062,25.0
18272425,16438062,25.0
18265574,14208723,0
18272409,14202962,3.0
22734026,35946080,25.0
18265577,14203826,15.0
18272623,14634744,25.0
18272356,14206553,0
18272619,14203896,0
22733075,16438062,25.0
18265581,43280544,25.0
18272650,14631115,25.0
18272594,16438062,25.0
18265582,14206006,0.0
18272610,16438062,25.0
