Product ID,Hash Value
465396958,"['f7f0f0e11d0190f7', 'e3c0b0f1ddffe7e7', 'e3f383431f38fd33', '7610e2f7fbe7ffff']"
227613862,"['ef8203070780e0e0', 'e7e3c3c3c1c181fd', 'ffff00001200ffff', 'ffffff81000000ff', 'ffc3c3c3c38181bd']"
227613863,"['ffe7c3c3c18181c1', 'e7e3cbcbc18181fd', 'ffff00001200ffff', 'fff0f0bf1f1000ff']"
227613861,"['fff1c18120000007', 'ffffff840c6665ff', 'ffff00001200ffff']"
465396949,"['f7f3c094b939b387', '470317b7af60f096']"
227613864,"['ffc3c3c1c18181ff', 'f9f9f8f000182200', 'ffff00001200ffff', 'ff000000c0f1fbff', 'ffffc3c3c38191ff']"
227613865,"['ffc3c3c381818199', 'ffff00001200ffff', 'ffc78383838187ff', 'ffc3c3c181818199', '00000268fdf9f8f8']"
465396945,"['d4c000b18987e7ff', 'c090a051fdc18bbf', 'c0c0e0f0e1db79ff']"
227613869,"['ff2320200f2f00ff', 'ff000304000020ff', 'e1e1e1e1ffe7e7ff', 'ffff99191918ffff', 'ffff00001200ffff', '8189838781c1e1f7']"
465396940,"['f03030f0bf6af3ff', 'f7c101013bc391ff', 'f786d6d6cf3f84be']"
442473327,"['ffffe7000700ffff', '0f0f6f0f0f8f0f0f', 'fffbf1c1818181ff', 'fff3f1818101009f', 'fffff3c18101019b']"
527987880,['00ffe8aaaaabf3ff']
527987921,['ff81018321098dff']
527987922,"['ffff8181898bffff', 'ffff83818181ffff', 'ffff81818181ffff', 'ffff81818181ffff', 'ff0020d1c1c0ffff', 'ffff81818181ffff', 'ffff81818181ffff', 'ffff81818181ffff']"
527987924,"['ffff81819181ffff', 'ffff81819181ffff', 'fffb81819181ffff', 'ffdf83819181ffff', 'ff808081c1f1ffff', 'fffb81819183ffff', 'ffff81819181ffff', 'ffff81819181ffff']"
527987926,"['ffe7e7c3c3c3ffff', 'ffefc3e3c3c3efff', 'ffe7e7e7c3c3ffff', 'fdc1e1c9c9f9f9f9', 'ffe7e7c7c3c3ffff', 'fff7e7c7c3c3f7ff', 'ffffe3c3c3c3f7ff', 'ffe7e7e3c3c3efff']"
227613853,"['ffdfd8fca6848080', 'ffdff8fca6848080', 'ffdff8fca6848080', 'ffff00001200ffff', 'ffdff8fca6848080', 'ffdff8fca6848080']"
227613851,"['ffe0e0e0e0e0e0ff', 'ffffffc7c30000ff', 'ff0ffb80000000ff', 'ffb7332333ff2424', 'ffff00001200ffff', 'ff9999991918ffff', 'ff9999191818ffff', 'ff9999191818ffff']"
465396954,"['ffff89818989ffff', 'f33030d799d71cfc', '731033d3cdceceef']"
465396952,"['f3722001cd2bf9fd', 'f741901099903579']"
465396953,['f65272f7af878fbf']
227613859,"['fffd98000000ffff', 'fffd98000000ffff', 'ffff80808080ffff', 'fffd98080000ffff', 'ffff00001200ffff', 'fffd98000000ffff']"
465396951,"['d092c7930b62bdb9', 'f7c21090dfd3f4b7']"
527987937,['ffbf01810181fdff']
