,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
0,323343861,(fo)350/600/1000mL Kitchen Home Handle Coffee Garland Cup Jug,Home & Living,94000.0,"350ml Stainless Steel Kitchen Home Handle Coffee Garland Cup Latte
Jug",Lazada Deals,100000.0,100000.0,0.18,0.827362831323
1,113025252,Sarung Bantalan Tempat Duduk Bahan Gel Untuk Kenyamanan Sepeda,Sports Essentials,59000.0,"New Selip Perlawanan Kenyamanan Sandaran Lengan Dukungan Memori
Busa Bantalan Mouse Kucing (Aneka Warna)",Komputer & Laptop,69000.0,69000.0,0.14,0.302959481299
2,285587703,Wood Massage Comb Air Cushion Health Large-Panel Comb,Health & Beauty,32000.0,"Natural Bamboo Wood Massage Comb Air Cushion Health Large-Panel
Comb - Intl",Kesehatan & Kecantikan,87000.0,87000.0,0.1,0.915521424762
3,242443805,Milk Frother Cappuccino 800mL Milk Creamer Foam,Home & Living,192200.0,"Milk Frother Cappuccino 800mL Stainless Steel Milk Creamer Foam
Double Mesh",Lazada Deals,203000.0,203000.0,0.52,0.918172548235
4,318319803,Crystal Heart Finger Ring Diamante Jewelry 18K Gold Filled USA #7 #8,Fashion Accessories,25000.0,"Sparkling Snail Diamante Finger Ring Jewelry 18K Gold Fil USA #7 -
intl",Bayi & Balita,69000.0,69000.0,,0.571604358635
5,90090977,Sepatu Bot Ikatan Simpul Musim Dingin Bayi Perempuan Prewalker,Baby & Kids,58000.0,Bayi Perempuan Simpul Sepatu Bot Salju Musim Dingin (Krem),Bayi & Balita,76000.0,76000.0,0.06,0.678387475971
6,203709488,Cangkir Minum Bayi Sedotan Cangkir Bayi Anti-Pergumulan Tahan Air,Baby & Kids,37800.0,240 ml Cup jerami bayi anti gulat cangkir minum (biru),Bayi & Balita,68000.0,68000.0,0.13,0.398781241954
7,214886798,Coffee Tamper Machine Espresso Press Flat Thread Base,Home & Living,216000.0,"Stainless Steel Coffee Tamper Machine Espresso Press Thread Base
57.5mm",Elektronik Rumah Tangga,249000.0,249000.0,0.42,0.888719834685
8,201992994,Baju Romper Bayi Baru Lahir: Jumpsuit Bahan Katun Untuk Anak Bayi Baru Lahir,Baby & Kids,88560.0,"Bayi Baru Bayi Lahir Perempuan Cantik Katun Ikatan Slyly Prewalker
Satu-Dia Her Soft (Berwarna Merah Muda)",Bayi & Balita,65000.0,65000.0,0.03,0.394925834368
9,319507134,Newborn Baby Girls Tassels Princess Sandal Shoes Prewalker,Baby & Kids,41000.0,"Newborn Baby Girls Tassels Princess Sandal Shoes Prewalker (Black)
- intl",Bayi & Balita,66000.0,66000.0,,0.96035944652
10,237878694,Fashion Wanita: Blus Tanpa Lengan Desain Renda Warna Hitam Putih,Women Clothes,82361.0,Girl Without Lengan Renda (Putih),Fashion,102000.0,102000.0,0.08,0.394580804666
