,userid,shopid,itemid,rating,rating_star,comments,Topic
8,28007771,14641014,362970622,1,5,Excellent service by seller,NI
83,1104106,14641014,300805676,1,5,Excellent service by seller,NI
239,23879226,14641014,309198947,0,3,"Product quality is ok
A pouch was not provided 
Suction was not great",NI
366,14776541,14641014,118557899,0,0,Still available,SMI
479,21814795,14641014,138267365,-1,1,Very poor product quality Very poor product quality Very poor product quality,PQ
516,22629303,14641014,214363670,0,3,Product quality is ok,NI
682,17294161,14641014,118556338,0,0,"If the waist size is 39, which is one, the cone of cm / inch",SMI
706,17210096,14641014,118556898,1,5,"Very Good Service, Good Quality. Very high recommended!",NI
723,14061745,14641014,118557584,1,5,Happy to receive my item... lambat sampai tapi worth it.. tq seller,NI
932,14642318,14641014,118557899,0,0,"@mckyley hi dear, what can i do for you?",SMI
1015,1104106,14641014,300795321,1,5,Excellent service by seller,NI
1041,11249340,14641014,287588776,1,5,the service is not good .. the goods are not accepted even though the updated goods have arrived,LS
1127,11756148,14641014,300795447,0,0,Do u have 50cm?,SMI
1254,4282392,14641014,138267064,0,3,Thin thin .. X leh nk blower bsr sgt nti pcah ..,PIM
1395,10692800,14641014,123557173,1,4,Everything is fine and receive early than expected but some defect on elsa' legs ,PQ
1789,24085190,14641014,317724063,1,5,Service by seller is ok Service by seller is ok,NI
1961,27588801,14641014,300783900,1,5,Nice,NI
2014,25448836,14641014,304415732,0,0,Hi,NI
2029,7858280,14641014,157266424,1,5,Like it very much ,NI
2347,7828691,14641014,123554157,0,0,hai This Still Aval?,SMI
2353,5585254,14641014,287596115,1,5,Nice,NI
2682,19861557,14641014,123555350,0,0,still available?,SMI
2848,29023327,14641014,398214581,-1,1,size to small...,PIM
3066,2860200,14641014,123557325,1,5,Excellent service by seller,NI
3553,14776541,14641014,118557899,0,0,This is available for girl and boy?all colour in stock?,SMI
3663,15682003,14641014,153574773,1,5,I did not receive this order ,LLDT
3724,34189494,14641014,300831362,1,4,"Requested for variation 3, got variation 5 instead. But I'll take it I guess. Looks good anyway. ",PIM
3954,6912674,14641014,300773830,0,3,Product quality is ok,NI
4237,13359244,14641014,411225499,1,5,Excellent service by seller,NI
4280,24287632,14641014,343279014,0,0,"Hi, blh tgk tak bhgian blkg tu mcm mne?",SMI
4486,5585254,14641014,123554051,1,4,Nice,NI
4516,24489909,14641014,290949854,1,5,Product quality is ok. But take ages to receive.,LLDT
4618,14642318,14641014,118557899,0,0,"@mckyley hi dear, we have all products in stock. just choose what you like.",NI
4640,15929833,14641014,123554862,0,0,Size?,SMI
4790,6912674,14641014,300773830,0,3,Product quality is ok.. wanted green instead of lime. Ordered 2 pairs but one pair's loop size is bigger than the other pair.,PIM
4998,23199340,14641014,292508542,0,0,pm,NI
5170,15826453,14641014,123555959,-1,1,Very poor product quality,PQ
5512,25448836,14641014,304415732,0,0,Buy,NI
5524,15826453,14641014,123553946,-1,1,Very poor product quality,PQ
5599,24495719,14641014,292508542,0,0,Pm me,NI
5644,12850257,14641014,123556389,0,3,Quality so-so however playset look cute.,NI
