,userid,shopid,itemid,rating,rating_star,comments,Topic
18,2338539,31964058,453870659,0,0,please who can help me,SMI
1905,9027132,31964058,460314615,1,5,"The item was broken,cannot be use..send message to the seller to ask for refund or replacement but until now,still no reply.. Very poor service by seller

Update: the seller are willing to send a new one to replace the broken one..hopefully the seller are being honest..",PQ
2076,26795465,31964058,446642242,1,5,"I ordered red but got black. I don't like black. Then, I requested for refund/return and it accepted. After that I feel guilty to give them such a trouble. But the delivery time is faster and comes before the expected date.",PIM
2183,2048305,31964058,446786346,1,4,Good service by seller,NI
2349,28943451,31964058,460382183,0,3,Product quality is ok,NI
2831,27281437,31964058,446744827,0,3,delivery delay,LLDT
3253,34176017,31964058,446669852,-1,1,Order 2 pcs receive 1 pcs. Seller please send 1 more .. Service by seller is ok,PIM
4057,2338539,31964058,453870659,0,0,i want to buy case red mix black,NI
4230,31432862,31964058,446478598,1,5,Very satisfied. Accept in good condition .. service delivery right ..,NI
4312,1536980,31964058,446664152,0,3,Product quality is ok,NI
4398,33923908,31964058,468175564,0,0,"note, 4 mediatek or snapdragon?",SMI
4498,1071235,31964058,461358532,1,5,Nice quality. Good services,NI
4812,13827616,31964058,451300890,1,5,Excellent service by seller! It's really really hard to get cases for Nexus 6P phone since it's quite rare among Malaysians. Luckily found one here. Thanks again!,NI
5833,34204289,31964058,457131139,0,0,Stock is there ??,SMI
5901,28542274,31964058,457325086,0,0,what this ring or phone casing?,SMI
