,userid,shopid,itemid,rating,rating_star,comments
7,30504006,4159855,36014559,1,5,Although it's mini but it vibrated stronger than expected. Gods stuff.
10,10124621,4159855,30995977,-1,1,Take 2 months to receive the item
14,177592,4159855,30017266,1,5,Nice.
17,6369646,4159855,30974427,0,0,Mcm mne nk order
22,2955892,4159855,36263664,0,0,Can play video?
27,11130525,4159855,36014579,1,5,Excellent service by seller
28,21727888,4159855,258266393,-1,1,Extra charge by the seller after the first payment done. The seller justify that Kuala Terengganu is East Malaysia eventhough I already explained that it was not. As a result I need to pay an extra RM9.90 due for this reason. I feel cheated.
34,7202406,4159855,30044051,0,0,Still available
36,3740746,4159855,30064571,1,5,Very beautiful mouse.. worth the money
37,12494082,4159855,55889715,0,2,Poor product quality
42,8423003,4159855,30995952,0,0,There is no lg stock?
44,322741,4159855,55889612,0,0,"Hi, is there to adjust your volume?"
48,7444760,4159855,47512837,0,0,Good product
49,8563492,4159855,34049834,0,0,We entered the product code for the product code
53,7716326,4159855,30046605,1,5,before my astro signal 72%.after use this 100%.recomended.good product
55,6199532,4159855,30065594,0,0,There is another x
58,4149163,4159855,33132058,1,5,"The price is worth it, but a bit hard to play when there is a bright place, too shinning for me, but it's look cool, great collection item."
59,9549959,4159855,29733706,1,4,Happy with the product..  
67,11729130,4159855,98407190,0,3,It is pretty. But the material is 90% polyester and 10% spandex. Not cotton blend whatsoever. It's like you're wearing plastics.
70,8261300,4159855,44234068,0,0,Do you know avail?
72,6610768,4159855,30022550,0,0,Stock available x
73,26575238,4159855,43450686,0,0,How the distance?
75,13160076,4159855,33475339,0,0,order 6/4/2017 but skg sdh 20/4/2017 not to mention can brg.tulis 4 days je
79,14622945,4159855,33436880,0,0,"May I ask if mixing is allowed? 20pcs of Red, Yellow, Green, Purple, and Orange?"
86,6028572,4159855,38333364,0,0,With camera?
90,16549185,4159855,30065594,0,0,hi to myvi can to
92,8259355,4159855,41648423,1,5,very satisfied hti ... best hour ... sgt cntik ... xrugi if buy
96,8130422,4159855,34049834,-1,1,"Product quality below expectation .description abit mislead .overall usable but you get what u pay

1-Battery cant fully charge
2- so call night vision is juz an LED light .(doesn help at all )
3- Switch to auto led but doesn response .need turn on and off manually
4-Gsensor is not working"
99,8657101,4159855,46060621,-1,1,Bad service !! Smpai skrg brg x smpai .. order dh complete .. bila tanya .. brg dhantar balik dgn dia & jnji nak refund .. tp smpai skrg xda apa2 ..
102,8961152,4159855,38056931,0,0,Still valid?
105,6770404,4159855,33475438,0,0,still available?
108,6612641,4159855,36657706,0,0,Which of the following is a Bluetooth car for you?
109,30666736,4159855,38057031,0,0,motion sensor or vibration sensor ??
111,1339029,4159855,31291516,1,5,Great
119,14824979,4159855,63008738,0,0,Hi can COD?
127,5809786,4159855,43808399,0,0,preorder how many days to selangor?
130,23401967,4159855,225779878,1,5,Until now..i did not receive this item!
133,6558298,4159855,36014545,1,5,Good service...fast delivery 
134,8571676,4159855,286020959,0,3,Product quality is ok
138,2209006,4159855,33770431,1,5,Love this MP3 very much - it has a clear display screen that shows the songs & many functions 
146,9759670,4159855,232320257,1,5,This is a real joke. I havent received the things i paid for and it says my purchase is completed. Come on. Im definitely gonna rate 5 stars for this joke. Great job there seller! What a great job to say my purchase completed when i havent received anything. Good!
148,7013245,4159855,30045769,0,0,How do we connect it to light it up
150,5586847,4159855,34430095,0,0,Ni if buy brg xde.x up. Money refund x?
157,4294962,4159855,30261380,1,5,Sgt murah dn ok .. berbaloi utk beli ... brg diterima lbh cpt dri dijangka ..
