,userid,shopid,itemid,rating,rating_star,comments,Topic
101,11434932,11433632,96097457,0,0,7-10 days can be shipped to My.,NI
118,2094897,11433632,177937622,0,0,is,NI
128,16811704,11433632,116674551,0,0,Size? Leave a message?,SMI
145,11434932,11433632,394820606,0,0,@tang2024242 Please English.,NI
280,21861198,11433632,118425805,0,0,Ok tq what brand?,SMI
339,8991993,11433632,118425805,0,3,Product quality is ok,NI
354,24896832,11433632,116674090,0,3,Product quality is ok,NI
390,21861198,11433632,118425805,0,0,Its Levis bt is it original may I know pls...?,SMI
394,7747784,11433632,118425805,0,3,CLEAN,NI
419,5138304,11433632,96068143,0,0,Means the cutting is small?,SMI
434,11434932,11433632,118425805,0,0,@alexlily Could you speak English?,SMI
441,11999659,11433632,118425805,-1,1,Beautiful news from the way.,NI
457,2847793,11433632,118425805,1,5,Products that are adverts are acceptable,NI
488,17238414,11433632,154329116,0,0,send to sabah blh,NI
697,23768184,11433632,118425805,0,3,Just ok,NI
698,17944306,11433632,118425805,0,3,can it be beautiful,NI
700,15915315,11433632,118425805,-1,1,dont buy from this seller..item not same like picture..,PIM
735,36774718,11433632,114966288,0,0,Size m ini color,NI
748,12563457,11433632,118527414,0,0,Dmm38 xl there is lg to,NI
779,11975122,11433632,394820606,0,0,mcmna mwu tgk ukuran ne..sukuran tidak diberi,NI
808,11434932,11433632,96068143,0,0,"@keithlaw91 The M size:bust 88cm,shoulder 38cm,length 65cm.",NI
819,20067941,11433632,118425805,0,0,What's the price ... I want to,SMI
840,11434932,11433632,96068143,0,0,"Dear Keithlaw,",NI
841,11434932,11433632,96676716,0,0,"@kelvin1834 we will send the item 6th,Feb for CNY.",NI
843,8290455,11433632,118425805,1,5,not value for money,PQ
848,11434932,11433632,116674103,0,0,@qingor131 yes,NI
870,26729348,11433632,118425805,0,0,Can PM my number 0194481660..whatsapp me please i want buy but i want detail..to my size,SMI
877,11434932,11433632,96068143,0,0,@andylingsienghuat you can see the picture of   the item.,NI
911,37050879,11433632,394820606,0,0,The purpose of this 1 to 7 pic what ya ya binggun .. ??,SMI
979,28266819,11433632,394820606,0,0,do you have size S pic 3?,SMI
1036,2734774,11433632,394820606,0,0,May I get it on 18/10/2017,SMI
1058,16197769,11433632,115584773,0,0,ni suka amat.comel nye,NI
1081,19952186,11433632,118425805,0,0,I want to do this,NI
1094,15546121,11433632,118425805,0,3,Product quality is ok,NI
1108,29979775,11433632,118425805,-1,1,Very poor product quality,PQ
1118,5986565,11433632,116091800,0,3,br guna dh broken..dh 2kali beli.xtau apa masalahnya,PQ
1128,36774718,11433632,114966288,0,0,Which ni ape color ....?,SMI
1137,28134082,11433632,416663515,1,5,you can see the pictures of the lake and your biase je delivery can take up to a month,NI
1177,11434932,11433632,96068143,0,0,XL,NI
1259,5319939,11433632,116674551,0,0,Size?,SMI
1284,10238293,11433632,118527414,0,0,You have to ..,NI
1324,11434932,11433632,96068143,0,0,@keithlaw91,NI
1363,25655595,11433632,118425805,0,3,Delivery time as expected,NI
1365,12374662,11433632,118425805,-1,1,no sma item in the picture .... trick,PIM
1386,11434932,11433632,96215993,0,0,@siongxplore 7 to 12 days.,SMI
1421,13552908,11433632,118425805,0,3,a little disappointed .. item xsama with pictures .. tp can be .. consider la with the price ..,PIM
1457,19838817,11433632,190086708,0,0,how do I booking this?? please pm me.! my hp nom 0187685882,SMI
1471,1890577,11433632,118425805,-1,1,Wonderful look of rupa .. poor quality,PQ
1512,18791176,11433632,118425805,-1,1,Not same in picture..,PIM
1520,24854056,11433632,96215993,0,0,Hi may I know how many days to reach?,SMI
1547,17291904,11433632,173164745,0,0,pm,NI
1658,7833925,11433632,80428274,0,0,Can be for this led sample,SMI
1662,17291904,11433632,173315799,0,0,pm,NI
1669,31589212,11433632,394820606,0,0,PM,NI
1682,21547673,11433632,394855757,1,5,Product quality is ok Good service by seller,NI
1715,11434932,11433632,118425805,0,0,@russeltalukder Not Levis.,NI
1722,33535318,11433632,401667070,-1,1,Very poor product quality,PQ
1723,14946943,11433632,80430125,0,0,Hello boss..harga goods to skal to kuantan,NI
1745,11434932,11433632,177937622,0,0,"@nialovely hello,yes",NI
1748,17291904,11433632,173209079,0,0,pm,NI
1749,20651453,11433632,118425805,0,0,Cutting mcm mna ni...straight cut ke?,SMI
1772,11434932,11433632,80430125,0,0,@ my8372_57264 How many pieces?,SMI
1774,22476234,11433632,118425805,0,0,Still have?,SMI
1791,33644186,11433632,394820606,0,0,Can i have the white one. I'm staying in Kl Ampang,SMI
1992,23874666,11433632,118425805,-1,1,Very poor product quality,PQ
2068,5138304,11433632,96068143,0,0,Hi..  May i know the measurements of m size?,SMI
2215,11434932,11433632,96676716,0,0,@anothernewgirl There is no 2XL for this coat.,NI
2759,10860569,11433632,118425805,-1,1,Not same as picture Very poor product quality,PIM
2819,30354884,11433632,401667070,0,2,it's not real size.....xl too short..,PIM
2863,2094897,11433632,177937622,0,0,Shoulder 40 'what size is it,NI
3022,17217888,11433632,394820606,0,2,Poor product quality.,PQ
3036,14737225,11433632,116674317,-1,1,Very poor product quality,PQ
3042,31202324,11433632,118425805,0,3,Product quality is ok,NI
3073,10238293,11433632,118527414,0,0,Bju's long or short arms,NI
3075,22062245,11433632,154329116,0,3,Delivery time as expected,NI
3126,12326760,11433632,120178342,1,5,good,NI
3154,36058050,11433632,394820606,0,2,Poor product quality,PQ
3169,2734774,11433632,394820606,0,0,I want on 18/10/2017,NI
3236,31438299,11433632,401667070,0,3,Product quality is ok,NI
3255,7762400,11433632,115549001,0,0,Size 29 is there a stock to the boss ??,SMI
3260,22586835,11433632,118425805,0,0,can be for measurements in english to? hihi..tq,SMI
3396,1065996,11433632,118425805,0,0,Want to buy....,NI
3457,18044980,11433632,116674103,0,0,Is there s size?,SMI
3463,32241995,11433632,164342263,0,0,I want size 31 for this item,NI
3494,2793631,11433632,256916737,1,5,Excellent service by seller,NI
3500,14955501,11433632,96068143,0,0,"if i wanna order ,hw?",SMI
3521,7718877,11433632,118425805,0,3,Product quality is ok,NI
3533,4963446,11433632,116674551,-1,1,Very poor product quality,PQ
3550,17533686,11433632,118425805,1,5,Excellent service by seller,NI
3576,6496070,11433632,96676716,0,0,What is the measurement for 2XL?,SMI
3648,18961894,11433632,185734370,0,0,Pm pelis,NI
3657,11434932,11433632,97976780,0,0,"@cik_lily ready stock,thanks.",NI
3685,11434932,11433632,118425805,0,0,@khaimusic57 Yes.We have stock.,NI
3717,11434932,11433632,118425805,0,0,@ninetysix_dred Yes.,NI
3730,11434932,11433632,97976780,0,0,ready stock.,NI
3751,6412082,11433632,118425805,-1,1,Very poor product quality Very poor product quality,PQ
3824,12136523,11433632,394820606,-1,1,Very poor product quality,PQ
3979,20979364,11433632,118425805,0,0,Ori keh?,SMI
4002,31263460,11433632,116674549,0,0,I want to see chart size,NI
4112,7499564,11433632,401667070,0,2,To fit ,NI
4198,16197769,11433632,115584773,0,0,no spic melayu ok,NI
4218,21281995,11433632,118425805,-1,1,Very poor product quality,PQ
4239,20738108,11433632,118425805,0,3,Product quality is ok,NI
4303,13193216,11433632,126368969,1,5,Blm receive lg stuff,NI
4342,11434932,11433632,394820606,0,0,@mohammadjefry What can I do for you?,SMI
4392,11434932,11433632,394820606,0,0,@azazainuri ok,NI
4403,40338276,11433632,394820606,0,0,Pm,NI
4419,11434932,11433632,118425805,0,0,@amirasyraf507 please contact us via shopee.,NI
4555,19248292,11433632,394820606,0,3,Product quality is ok,NI
4773,19342434,11433632,118425805,-1,1,hmm,NI
4782,11434932,11433632,190086708,0,0,@aponk501 please pay via shopee.,NI
5086,19111186,11433632,172432764,0,0,Camana nk order ye,NI
5112,11434932,11433632,115584773,0,0,@ronalerizon Could you speak English?,SMI
5205,12536391,11433632,401667070,1,4,L size is much more smaller than i expected. Overall is okay,PIM
5241,25903842,11433632,118425805,0,3,Poor product quality,PQ
5253,11434932,11433632,116674551,0,0,@muhdsyazwi S M L XL.,NI
5330,29043018,11433632,118425805,1,5,Im Not satisfied with the quality,PQ
5381,5308441,11433632,401667070,1,5,Delivery time below expectation Excellent service by seller,LLDT
5392,37050879,11433632,394820606,0,0,Can you please answer?,SMI
5410,11434932,11433632,96074966,0,0,@roykaizo we have four size.,NI
5450,16629531,11433632,154329116,0,0,Hi brpa lma blh smpai sbah ni ar?,SMI
5466,11434932,11433632,118425805,0,0,@esammuthanna Thanks,NI
5502,791465,11433632,118425805,-1,1,Very poor product quality Very poor service by seller,"PQ,SSC"
5540,17202208,11433632,118425805,0,3,Product quality is ok,NI
5711,11434932,11433632,115549001,0,0,@levis.dbrutalz yes.,NI
5751,17317647,11433632,118425805,1,5,poor product quality,PQ
5810,7106927,11433632,96676716,0,0,Hi I want to buy if I want this when can delivery?,SMI
5834,19431557,11433632,200937980,0,0,01112287901 pm boss,NI
