Shop_26893820,Shop_26520183,Difference_score
610503825,341380755,24.0
610503820,377720454,24.0
610503821,380550927,24.0
571773441,578280761,23.0
553435678,567976314,9.0
553435677,567976317,20.0
558384571,592283095,11.0
596905157,592283184,0
535354882,535417879,23.0
578476088,564871475,16.0
610503822,564871544,24.0
498497141,477902352,25.0
443290680,381011978,24.0
502366005,596139902,24.0
578476087,383954089,23.0
578476082,535417893,25.0
498497148,578280748,24.0
553435399,581269748,12.0
535428744,535538149,6.0
535428747,535538153,16.0
553435379,581269733,16.0
535428740,535538146,17.0
535428743,535538151,14.0
535428742,535538145,0
443372487,393219799,7.0
443372484,341380762,24.0
443372485,578280645,24.0
535428749,535538152,6.0
489960690,596139902,24.0
533163769,369733634,25.0
443372132,581269622,25.0
443372133,448650594,24.0
443372130,525849128,24.0
533163763,564871326,16.0
533163761,564871334,18.0
533163766,564871325,16.0
443372138,535417899,25.0
592100949,581269598,13.0
592100948,564871532,14.0
489960821,383954051,24.0
592100943,564871535,18.0
489960826,603728206,25.0
498504232,373070522,0
535354851,535417867,10.0
561500722,567976381,22.0
535354857,339756863,25.0
535354856,535417875,10.0
561496260,567976337,20.0
535354859,535417861,14.0
535354912,535417889,6.0
604430058,596139859,23.0
604430057,564871561,24.0
604430056,596139873,24.0
498497140,535538144,24.0
604430053,596139875,23.0
604430052,596139902,19.0
604430050,369733662,24.0
596829383,581269644,20.0
578476086,535417899,25.0
490088618,373069977,19.0
502365888,455246090,24.0
502365889,581269575,24.0
535354927,535417914,16.0
535354926,535417910,11.0
535354924,535417899,23.0
578476083,564871334,7.0
535354929,535496245,7.0
535354928,535417903,16.0
567962340,578280695,10.0
553435896,592283102,11.0
553179089,446677923,24.0
553435929,567976365,19.0
596905108,581269717,20.0
596905109,592283140,23.0
596905067,477902350,25.0
610503818,535538094,24.0
596905065,581269641,20.0
596905100,581269724,13.0
610503814,451054384,24.0
596905069,581269701,15.0
596905068,581269748,25.0
596905104,567976270,11.0
596905106,592283125,17.0
553435700,592283079,23.0
567750802,571369498,17.0
498497198,578280742,24.0
558381945,567976359,23.0
558387442,592283112,23.0
535428718,535538121,10.0
535428712,535538105,17.0
535428710,453052116,15.0
535428711,535538102,9.0
600836825,596139721,11.0
600836826,596139804,0
